Raw_Turbidity,Raw_Colour,Raw_PH,PAC,KMnO4,ACD,Turbidity_class
2.1,188.0,7.55,2.5,0.12,0.16,low
67.2,500.0,6.76,5.5,0.25,0.4,medium
167.0,500.0,6.81,4.0,0.4,0.55,low
418.0,500.0,6.53,3.0,0.6,0.75,high
112.3,500.0,6.68,5.5,0.7,0.35,high
26.63,180.0,7.46,2.0,0.19,0.2,low
45.1,437.0,6.97,2.5,0.35,0.35,high
29.1,325.0,6.99,5.0,0.4,0.7,medium
112.3,500.0,6.68,4.0,0.7,0.35,medium
65.1,500.0,6.91,4.5,0.35,0.45,medium
61.9,500.0,6.97,3.0,0.35,0.4,low
98.5,300.0,6.95,3.5,0.5,0.5,medium
210.0,500.0,7.45,2.0,0.18,0.25,low
227.0,360.0,7.46,2.0,0.16,0.25,medium
42.6,258.0,7.18,4.0,0.2,0.3,low
29.3,352.0,6.77,4.0,0.5,0.75,medium
52.5,465.0,6.85,4.0,0.4,0.5,high
38.9,342.0,6.81,4.0,0.7,0.65,medium
34.5,288.0,6.79,3.5,0.35,0.3,medium
18.5,172.0,7.5,0.5,0.12,0.15,medium
80.1,398.0,6.8,4.5,0.5,0.35,high
36.3,199.0,7.65,3.5,0.12,0.16,high
24.2,298.0,7.01,4.5,0.25,0.35,low
43.1,438.0,6.64,5.5,0.6,0.35,low
21.6,152.0,7.55,1.0,0.25,0.15,low
43.1,438.0,6.64,3.5,0.6,0.35,medium
36.8,298.0,6.62,3.0,0.5,0.3,medium
18.3,256.0,6.88,3.0,0.16,0.25,low
221.6,500.0,6.78,7.0,0.65,0.4,medium
282.0,500.0,6.71,5.5,0.5,0.5,medium
53.1,88.0,6.29,3.0,0.4,0.35,medium
44.5,488.0,6.31,3.0,0.3,0.45,high
20.1,290.0,6.63,5.0,0.6,0.75,high
202.1,280.0,6.65,4.5,0.45,0.35,high
492.0,500.0,7.0,5.5,0.45,0.75,low
63.1,438.0,7.11,3.0,0.42,0.55,high
76.5,500.0,6.69,3.5,0.5,0.3,medium
61.7,500.0,6.52,2.5,0.3,0.55,medium
21.9,300.0,7.0,2.5,0.25,0.35,medium
110.0,500.0,6.99,8.5,0.5,0.65,high
49.4,285.0,7.52,3.0,0.2,0.25,low
188.4,300.0,7.69,4.5,0.25,0.35,high
10.9,189.0,8.7,1.0,0.08,0.1,low
32.5,390.0,6.78,4.5,0.55,0.35,medium
45.1,500.0,7.65,2.0,0.12,0.12,low
36.5,326.0,6.89,3.5,0.6,0.3,medium
18.0,184.0,6.82,3.5,0.37,0.55,high
34.5,288.0,6.79,4.5,0.35,0.3,high
78.0,496.0,6.49,2.0,0.2,0.65,high
35.4,187.0,7.49,3.5,0.22,0.3,high
68.1,210.0,6.79,4.5,0.45,0.35,low
55.4,291.0,7.55,4.0,0.2,0.25,high
9.6,176.0,7.48,0.1,0.95,3.0,high
46.6,500.0,7.49,0.5,0.17,0.25,high
29.1,310.0,6.91,2.0,0.45,0.4,medium
54.4,420.0,6.91,1.5,0.3,0.35,high
69.1,500.0,6.71,3.0,0.35,0.4,medium
180.0,500.0,6.59,3.0,0.5,0.65,medium
82.0,428.0,6.19,4.0,0.2,0.35,low
23.2,132.0,6.76,3.5,0.9,0.4,medium
19.6,182.0,7.28,2.0,0.17,0.15,low
40.1,500.0,6.9,2.0,0.4,0.35,high
42.0,384.0,7.21,4.0,0.45,0.65,medium
25.8,400.0,7.41,0.5,0.11,0.2,low
29.2,342.0,7.1,4.0,0.42,0.45,low
33.1,319.0,6.6,2.5,0.6,0.35,medium
111.0,500.0,6.9,4.0,0.45,0.45,high
19.5,192.0,7.42,2.5,0.12,0.5,medium
30.0,390.0,7.19,3.5,0.5,0.75,low
240.6,500.0,6.89,2.5,0.5,0.4,high
18.9,210.0,7.18,5.0,0.15,0.3,medium
39.6,423.0,6.79,4.5,0.65,0.3,medium
19.1,190.0,6.99,4.0,0.22,0.35,medium
57.3,500.0,6.65,2.5,0.6,0.25,medium
36.8,298.0,6.62,3.5,0.5,0.3,medium
36.1,300.0,6.88,2.5,0.2,0.3,high
43.1,300.0,6.71,3.5,0.5,0.35,medium
35.4,500.0,7.41,0.4,0.8,2.0,low
20.3,326.0,6.55,2.0,0.3,0.35,medium
73.1,410.0,6.98,3.5,0.6,0.3,high
31.2,178.0,6.8,3.0,0.65,0.25,medium
25.0,300.0,7.03,3.5,0.25,0.35,low
39.6,423.0,6.79,3.5,0.65,0.3,medium
42.9,400.0,6.8,4.0,0.4,0.55,high
181.1,500.0,6.79,4.5,0.6,0.3,high
14.0,300.0,7.31,2.5,0.55,0.65,low
27.9,292.0,6.23,5.0,0.25,0.35,medium
37.5,186.0,7.46,1.5,0.15,0.18,low
75.4,43.0,6.76,2.0,0.5,0.4,high
49.5,119.0,7.09,5.0,0.37,0.65,high
211.0,500.0,6.85,3.5,0.75,0.35,high
55.6,500.0,6.82,4.0,0.4,0.35,medium
45.4,500.0,7.51,4.0,0.28,0.35,medium
290.0,500.0,6.97,5.0,0.5,0.75,high
32.3,348.0,6.55,4.0,0.52,0.65,medium
33.1,310.0,6.78,4.0,0.55,0.3,medium
400.0,500.0,7.56,4.0,0.32,0.35,low
111.3,500.0,6.81,6.0,0.25,0.25,high
13.0,167.0,7.52,2.0,0.12,0.15,low
83.3,300.0,7.55,1.0,0.16,0.25,low
66.0,500.0,6.99,5.5,0.5,0.75,medium
89.3,500.0,6.58,3.0,0.4,0.2,medium
162.3,500.0,6.52,3.5,0.55,0.4,high
20.3,326.0,6.55,4.5,0.3,0.35,medium
381.2,500.0,6.8,4.0,0.8,0.45,high
320.0,500.0,6.88,6.0,0.5,0.75,high
12.02,225.0,7.49,0.4,0.43,0.5,medium
111.7,500.0,6.99,5.0,0.4,0.45,high
45.7,315.0,6.95,3.5,0.3,0.3,high
27.2,230.0,7.37,3.0,0.12,0.15,low
72.8,500.0,6.85,3.5,0.35,0.3,high
29.5,196.0,7.47,3.5,0.24,0.15,medium
58.7,492.0,6.98,2.5,0.45,0.5,medium
30.1,290.0,6.88,3.5,0.42,0.65,low
79.1,500.0,6.97,2.5,0.65,0.35,high
34.5,288.0,6.79,2.0,0.35,0.3,medium
75.31,500.0,7.62,1.0,0.32,0.45,high
41.2,20.0,6.52,2.5,0.2,0.35,low
32.8,296.0,6.88,2.0,0.55,0.3,medium
271.0,198.0,7.4,4.5,0.4,0.45,medium
27.1,159.0,7.45,0.5,0.11,0.25,medium
52.5,465.0,6.85,6.0,0.4,0.5,medium
52.8,500.0,6.52,3.0,0.4,0.35,medium
57.4,223.0,7.46,3.0,0.17,0.25,low
19.1,276.0,6.52,4.0,0.5,0.75,low
6.9,162.0,7.51,1.0,0.17,0.25,low
27.5,309.0,7.05,4.5,0.3,0.65,low
49.1,452.0,6.68,2.5,0.45,0.6,low
458.0,500.0,6.85,6.0,0.5,0.6,medium
50.7,298.0,7.52,2.5,0.17,0.25,medium
221.2,500.0,6.58,6.0,0.6,0.3,high
56.2,210.0,6.69,5.0,0.5,0.35,high
78.6,479.0,6.71,5.0,0.5,0.4,medium
14.3,121.0,7.49,0.1,0.15,0.2,low
30.0,390.0,7.19,2.5,0.5,0.75,high
29.5,221.0,7.42,1.5,0.12,0.2,low
68.1,210.0,6.79,5.0,0.45,0.35,low
74.5,500.0,6.85,5.0,0.5,0.6,low
26.3,180.0,8.12,0.2,0.15,0.25,high
25.4,191.0,7.52,1.0,0.24,0.3,low
20.1,197.0,7.2,5.0,0.4,0.75,medium
95.9,500.0,7.42,1.5,0.17,0.25,high
123.0,89.0,7.12,7.5,0.65,0.35,high
79.0,500.0,6.99,5.5,0.5,0.65,high
36.5,326.0,6.89,2.5,0.6,0.3,medium
36.2,300.0,6.89,4.5,0.2,0.3,high
42.6,258.0,7.18,4.5,0.2,0.3,medium
67.3,328.0,6.68,4.5,0.5,0.35,medium
67.3,328.0,6.68,2.5,0.5,0.35,high
55.4,285.0,7.34,3.0,0.1,0.25,low
30.1,300.0,6.9,3.5,0.5,0.5,high
67.2,500.0,6.76,3.0,0.25,0.4,high
61.1,390.0,6.89,4.0,0.2,0.25,high
100.0,500.0,6.9,5.5,0.51,0.65,high
44.1,450.0,7.0,2.5,0.6,0.35,high
31.1,333.0,6.99,2.0,0.4,0.7,high
49.1,323.0,6.95,1.5,0.3,0.35,medium
14.3,121.0,7.49,2.0,0.15,0.2,low
34.5,302.0,6.99,4.5,0.8,0.35,high
381.4,500.0,7.55,6.5,0.15,0.25,high
39.1,399.0,7.07,4.0,0.35,0.45,high
22.6,232.0,6.73,4.0,0.7,0.3,medium
230.0,500.0,6.85,3.0,0.72,0.4,high
22.6,232.0,6.73,4.5,0.7,0.3,medium
26.63,180.0,7.46,0.5,0.19,0.2,low
25.9,193.0,7.45,0.5,0.15,0.25,low
36.3,199.0,7.65,1.5,0.12,0.16,medium
49.1,399.0,7.1,4.0,0.4,0.35,medium
26.3,180.0,8.12,0.15,0.15,0.25,high
49.8,500.0,6.32,4.0,0.3,0.55,high
98.5,300.0,6.95,2.5,0.5,0.5,medium
35.2,383.0,7.06,2.5,0.45,0.75,medium
250.0,500.0,7.46,3.5,0.12,0.31,low
13.6,168.0,7.5,1.0,0.08,0.1,high
20.8,289.0,6.89,2.5,0.15,0.3,low
17.93,199.0,7.55,1.0,0.15,0.2,medium
48.9,423.0,7.51,4.0,0.4,0.3,high
37.47,200.0,7.91,0.5,0.16,0.16,low
38.9,49.0,7.35,2.0,0.65,0.3,high
65.1,500.0,6.91,4.0,0.35,0.45,high
310.0,500.0,6.79,5.0,0.85,0.35,high
12.5,195.0,7.52,2.0,0.24,0.25,low
32.6,216.0,7.06,2.0,0.15,0.3,medium
43.5,500.0,6.31,3.5,0.42,0.75,medium
22.7,160.0,7.38,1.0,0.11,0.2,low
18.4,182.0,7.52,3.5,0.15,0.25,low
77.0,500.0,6.91,4.5,0.5,0.4,medium
12.0,180.0,7.98,1.5,0.24,0.25,low
39.3,199.0,7.45,1.0,0.18,0.2,low
48.5,500.0,6.85,5.5,0.43,0.7,medium
75.31,500.0,7.62,3.0,0.32,0.45,low
79.1,500.0,6.81,4.0,0.25,0.35,high
43.1,300.0,6.71,4.0,0.5,0.35,high
12.02,225.0,7.49,0.2,0.43,0.5,high
57.3,500.0,6.65,3.0,0.6,0.25,medium
23.5,352.0,6.65,4.0,0.5,0.75,low
95.0,500.0,6.82,4.5,0.45,0.75,medium
99.1,500.0,6.85,4.5,0.6,0.35,high
15.2,295.0,6.58,2.5,0.5,0.75,low
99.1,310.0,6.85,3.5,0.4,0.3,high
43.2,380.0,6.82,5.0,0.25,0.35,high
36.8,389.0,6.75,5.0,0.3,0.35,high
53.1,88.0,6.29,4.5,0.4,0.35,high
32.8,296.0,6.88,2.5,0.55,0.3,medium
53.2,289.0,6.82,4.5,0.7,0.45,medium
389.0,500.0,7.02,6.5,0.4,0.6,medium
17.5,273.0,6.76,4.5,0.6,0.75,medium
17.8,120.0,6.9,2.0,0.22,0.35,medium
38.9,49.0,7.35,4.5,0.65,0.3,medium
48.2,395.0,6.89,4.5,0.42,0.45,high
55.9,251.0,7.52,3.0,0.1,0.35,low
19.1,319.0,6.93,4.5,0.4,0.5,high
26.9,328.0,7.07,4.0,0.4,0.35,low
21.6,159.0,7.38,3.5,0.12,0.2,medium
37.1,181.0,6.75,3.5,0.15,0.3,medium
18.8,206.0,7.38,0.5,0.27,0.3,medium
19.8,272.0,6.87,4.5,0.22,0.35,low
85.9,500.0,6.67,7.5,0.5,0.4,high
98.2,400.0,7.46,2.0,0.2,0.2,low
162.3,500.0,6.89,4.0,0.6,0.3,high
22.5,180.0,7.52,3.0,0.11,0.15,low
46.1,356.0,6.72,3.5,0.7,0.3,medium
35.4,185.0,7.49,3.5,0.23,0.15,low
8.5,192.0,7.52,0.2,0.12,0.1,high
42.4,190.0,7.67,1.5,0.27,0.3,low
180.0,500.0,6.59,2.5,0.5,0.65,high
496.0,500.0,7.42,5.5,0.42,0.75,medium
21.6,188.0,7.06,3.5,0.25,0.35,low
39.2,372.0,6.88,5.0,0.5,0.65,medium
42.0,384.0,7.21,4.5,0.45,0.65,low
34.2,285.0,6.72,3.0,0.15,0.35,medium
14.3,121.0,7.49,2.5,0.15,0.2,low
29.1,290.0,6.81,4.5,0.65,0.3,medium
162.0,500.0,7.76,1.0,0.3,0.5,high
101.3,500.0,6.81,4.5,0.25,0.3,high
66.6,459.0,6.44,3.5,0.2,0.35,low
38.0,190.0,7.52,1.0,0.15,0.2,high
61.1,310.0,6.99,3.5,0.65,0.35,high
38.3,190.0,7.49,2.5,0.28,0.3,low
21.1,210.0,6.85,2.5,0.4,0.35,medium
95.9,500.0,7.42,3.5,0.17,0.25,low
68.9,500.0,6.71,4.0,0.25,0.4,medium
196.0,500.0,6.87,3.5,0.5,0.65,high
31.0,330.0,6.97,4.0,0.42,0.75,medium
38.0,359.0,7.0,2.5,0.4,0.65,medium
54.1,500.0,6.94,5.0,0.5,0.75,medium
33.1,310.0,6.78,3.0,0.55,0.3,low
28.9,299.0,6.5,3.5,0.6,0.75,high
22.6,219.0,7.02,4.0,0.45,0.75,low
210.0,500.0,6.31,4.0,0.2,0.35,high
14.5,150.0,7.35,2.0,0.12,0.15,low
35.4,225.0,7.54,1.5,0.22,0.18,low
280.0,500.0,6.98,6.5,0.5,0.75,medium
75.8,356.0,6.82,2.5,0.5,0.35,medium
12.6,146.0,7.56,1.5,0.15,0.1,low
112.6,500.0,7.48,2.0,0.22,0.3,high
31.1,310.0,6.81,2.5,0.15,0.3,medium
41.2,412.0,6.66,3.0,0.5,0.25,medium
85.0,49.0,6.51,4.5,0.2,0.35,medium
63.62,196.0,7.8,3.0,0.21,0.25,low
89.1,500.0,6.91,4.5,0.4,0.3,high
55.8,500.0,6.69,4.5,0.4,0.35,low
18.9,162.0,7.43,3.5,0.12,0.2,medium
20.7,191.0,7.57,3.0,0.22,0.15,high
24.5,300.0,7.55,2.0,0.27,0.3,medium
11.5,190.0,7.52,1.5,0.12,0.15,medium
40.1,235.0,6.75,2.0,0.4,0.35,medium
24.1,278.0,6.53,2.0,0.5,0.75,medium
107.9,500.0,6.58,5.5,0.35,0.4,high
311.0,500.0,6.89,4.5,0.7,0.35,high
29.4,185.0,7.5,3.0,0.25,0.15,low
19.8,172.0,7.61,3.5,0.12,0.2,medium
28.2,220.0,6.82,3.5,0.35,0.3,medium
271.0,198.0,7.4,2.5,0.4,0.45,low
55.9,188.0,7.51,4.0,0.22,0.2,high
16.9,210.0,7.08,4.5,0.75,0.35,medium
494.6,500.0,6.52,7.0,0.6,0.35,high
27.5,309.0,7.05,5.5,0.3,0.65,high
53.0,500.0,6.99,5.0,0.5,0.35,low
102.3,500.0,6.82,5.0,0.5,0.75,low
15.9,239.0,7.1,2.5,0.4,0.55,low
82.4,500.0,7.66,0.5,0.12,0.1,medium
162.5,500.0,6.85,6.5,0.5,0.75,medium
311.0,500.0,6.89,5.0,0.7,0.35,high
37.2,386.0,6.96,3.5,0.3,0.35,medium
210.8,500.0,6.82,6.5,0.5,0.3,high
41.1,190.0,7.45,3.0,0.12,0.25,low
83.3,300.0,7.55,2.0,0.16,0.25,low
178.1,500.0,7.38,1.5,0.1,0.15,low
76.5,500.0,6.69,6.0,0.5,0.3,high
79.1,500.0,6.97,4.5,0.65,0.35,medium
38.2,340.0,7.29,3.0,0.4,0.45,low
18.2,170.0,7.24,1.0,0.17,0.15,low
54.0,160.0,7.52,1.5,0.45,0.5,high
20.0,500.0,7.45,1.0,0.19,0.25,low
66.6,459.0,6.44,4.5,0.2,0.35,low
38.2,340.0,7.29,4.5,0.4,0.45,medium
22.1,179.0,7.42,3.5,0.2,0.15,low
17.93,199.0,7.55,1.5,0.15,0.2,medium
68.1,210.0,6.79,3.5,0.45,0.35,low
12.6,500.0,6.77,3.5,0.5,0.55,low
32.3,199.0,7.4,2.0,0.2,0.15,low
53.2,500.0,7.4,2.0,0.8,0.2,low
20.4,166.0,7.42,2.5,0.12,0.2,medium
21.7,286.0,6.61,3.0,0.5,0.75,low
25.0,200.0,7.3,0.5,0.17,0.5,medium
12.5,195.0,7.52,3.0,0.24,0.25,low
57.0,400.0,7.49,1.5,0.22,0.35,high
238.6,500.0,6.75,4.5,0.7,0.35,medium
36.8,389.0,6.75,3.5,0.3,0.35,medium
46.2,414.0,7.06,4.5,0.37,0.65,medium
22.7,185.0,7.39,2.5,0.2,0.2,low
45.1,437.0,6.97,4.5,0.35,0.35,high
187.0,496.0,6.49,2.5,0.2,0.35,high
20.1,250.0,6.7,4.5,0.5,0.3,medium
48.1,329.0,7.01,3.0,0.7,0.3,medium
9.6,156.0,7.41,0.4,0.12,0.15,medium
87.6,500.0,6.59,3.0,0.4,0.35,high
29.5,221.0,7.42,0.5,0.12,0.2,low
34.8,386.0,6.72,4.0,0.65,0.3,medium
53.1,88.0,6.29,4.0,0.4,0.35,high
29.3,352.0,6.77,3.5,0.5,0.75,medium
190.0,500.0,7.56,2.5,0.12,0.15,low
425.2,500.0,6.52,7.0,0.7,0.4,high
95.9,500.0,7.42,4.0,0.17,0.25,medium
23.6,192.0,7.35,3.0,0.15,0.25,low
19.7,185.0,7.49,2.0,0.15,0.2,low
29.2,364.0,6.92,2.5,0.4,0.75,high
17.2,168.0,7.23,1.0,0.15,0.25,low
101.4,500.0,7.44,5.0,0.15,0.25,high
66.8,500.0,7.66,3.5,0.45,0.4,medium
16.2,172.0,7.38,3.0,0.16,0.2,medium
23.6,192.0,7.35,2.0,0.15,0.25,low
71.9,500.0,7.01,3.5,0.35,0.3,high
111.0,500.0,6.9,4.5,0.45,0.45,high
65.1,391.0,6.65,3.0,0.4,0.35,high
28.9,299.0,6.5,5.0,0.6,0.75,high
43.1,438.0,6.64,3.0,0.6,0.35,medium
23.4,236.0,6.82,2.5,0.15,0.3,medium
25.8,400.0,7.41,2.0,0.11,0.2,low
202.1,280.0,6.65,3.5,0.45,0.35,medium
29.3,352.0,6.77,2.5,0.5,0.75,low
139.1,500.0,6.99,2.5,0.4,0.35,high
15.8,225.0,7.53,0.5,0.15,0.2,medium
48.1,329.0,7.01,4.5,0.7,0.3,medium
31.2,178.0,6.8,4.0,0.65,0.25,high
20.8,309.0,6.57,4.0,0.5,0.75,low
25.7,191.0,7.51,1.0,0.15,0.25,low
95.4,238.0,7.53,2.5,0.19,0.25,high
22.0,242.0,7.01,1.0,0.37,0.55,high
15.1,155.0,7.35,1.5,0.12,0.2,low
45.5,375.0,6.98,2.5,0.25,0.35,high
188.0,500.0,6.33,3.0,0.2,0.35,high
82.9,500.0,6.8,5.5,0.7,0.45,medium
46.2,414.0,7.06,3.0,0.37,0.65,medium
49.1,452.0,6.68,4.5,0.45,0.6,medium
74.5,500.0,6.85,3.0,0.5,0.6,medium
38.3,190.0,7.49,1.5,0.28,0.3,low
18.7,500.0,7.55,2.0,0.12,0.15,low
245.4,400.0,7.52,2.0,0.17,0.25,high
227.0,360.0,7.46,4.5,0.16,0.25,low
11.52,152.0,7.42,1.0,0.11,0.5,low
22.0,390.0,7.44,3.0,0.19,0.25,low
36.2,300.0,6.89,3.0,0.2,0.3,high
381.2,500.0,6.8,3.0,0.8,0.45,high
16.2,166.0,7.38,1.0,0.17,0.15,low
30.1,290.0,6.88,2.5,0.42,0.65,high
61.2,500.0,7.12,3.5,0.35,0.45,high
17.93,199.0,7.55,3.0,0.15,0.2,low
53.2,500.0,7.4,1.0,0.8,0.2,medium
47.5,429.0,6.47,2.5,0.3,0.4,medium
28.5,290.0,6.92,4.5,0.5,0.75,medium
390.0,500.0,6.55,5.0,0.4,0.45,medium
25.4,185.0,7.48,1.0,0.12,0.2,low
55.4,285.0,7.34,1.5,0.1,0.25,medium
35.6,395.0,6.89,5.0,0.3,0.35,medium
15.2,295.0,6.58,4.5,0.5,0.75,medium
37.0,500.0,7.15,1.5,0.17,0.21,low
210.0,500.0,6.88,3.0,0.25,0.55,medium
31.1,120.0,6.99,3.0,0.2,0.3,medium
79.1,400.0,6.95,3.5,0.5,0.4,high
11.8,500.0,7.7,1.0,0.45,0.55,high
99.6,500.0,6.88,3.0,0.75,0.4,medium
82.4,500.0,7.66,2.5,0.12,0.1,low
28.1,180.0,6.88,4.5,0.15,0.3,high
14.6,329.0,6.65,3.0,0.3,0.35,low
59.1,385.0,6.51,3.5,0.45,0.35,medium
109.2,500.0,7.01,3.5,0.42,0.5,high
12.5,199.0,7.99,3.0,0.9,3.0,low
51.4,250.0,7.6,2.5,0.21,0.25,low
72.1,398.0,6.99,4.5,0.5,0.4,high
28.5,225.0,7.49,0.4,0.75,1.5,low
67.0,484.0,6.82,3.0,0.5,0.75,medium
13.2,150.0,7.44,1.5,0.16,0.25,low
39.9,385.0,6.88,3.0,0.4,0.75,high
26.5,199.0,7.52,3.5,0.22,0.3,low
24.2,298.0,7.01,2.5,0.25,0.35,low
497.0,500.0,6.96,6.5,0.4,0.75,high
180.0,500.0,6.59,2.0,0.5,0.65,high
11.5,190.0,7.52,2.5,0.12,0.15,low
14.2,152.0,7.56,3.0,0.12,0.15,low
0.0,0.0,0.0,0.0,0.0,0.0,
47.6,325.0,6.78,3.5,0.35,0.5,low
57.0,400.0,7.49,2.5,0.22,0.35,low
53.1,310.0,7.0,3.5,0.65,0.3,high
100.0,500.0,7.12,5.5,0.5,0.75,high
48.2,395.0,6.89,5.0,0.42,0.45,medium
27.2,420.0,6.99,2.5,0.42,0.6,high
66.0,500.0,6.99,6.0,0.5,0.75,medium
54.1,500.0,6.94,3.0,0.5,0.75,high
11.38,150.0,7.32,0.5,0.11,0.5,low
78.6,479.0,6.71,4.0,0.5,0.4,medium
72.5,472.0,7.14,3.0,0.5,0.65,medium
28.2,189.0,7.38,1.5,0.27,0.35,high
69.4,500.0,7.49,5.5,0.2,0.25,high
34.6,336.0,6.82,2.5,0.7,0.25,medium
85.9,500.0,6.67,5.5,0.5,0.4,medium
45.4,209.0,7.52,1.5,0.11,0.15,high
25.8,400.0,7.41,1.5,0.11,0.2,low
22.1,124.0,7.41,3.0,0.11,0.19,low
56.0,320.0,7.56,1.0,0.1,0.18,low
79.2,500.0,6.63,3.5,0.5,0.5,medium
29.4,185.0,7.5,1.5,0.25,0.15,low
55.8,500.0,6.69,3.5,0.4,0.35,medium
201.0,500.0,6.89,5.0,0.5,0.7,low
398.9,500.0,6.52,7.0,0.65,0.35,high
27.1,320.0,6.71,2.5,0.15,0.35,high
168.0,500.0,7.05,6.0,0.4,0.75,high
66.6,459.0,6.44,4.0,0.2,0.35,low
32.3,348.0,6.55,4.5,0.52,0.65,medium
19.8,188.0,7.02,3.0,0.22,0.35,low
79.1,350.0,6.81,1.5,0.35,0.4,high
79.6,500.0,7.01,6.0,0.4,0.75,medium
38.0,190.0,7.52,0.5,0.15,0.2,high
18.7,500.0,7.55,2.5,0.12,0.15,low
265.1,500.0,6.58,3.5,0.72,0.4,medium
199.0,493.0,6.29,4.0,0.4,0.65,medium
206.6,500.0,6.89,5.5,0.5,0.45,high
39.1,310.0,6.9,3.5,0.2,0.3,high
22.5,180.0,7.52,1.5,0.11,0.15,low
100.0,500.0,6.9,3.5,0.5,0.75,high
6.9,162.0,7.51,1.0,0.12,0.15,low
37.47,200.0,7.91,2.0,0.16,0.16,low
35.2,387.0,7.09,3.0,0.45,0.75,medium
75.6,412.0,6.84,4.5,0.35,0.4,medium
425.2,500.0,6.52,6.5,0.7,0.4,medium
17.8,120.0,6.9,2.5,0.22,0.35,medium
39.1,310.0,6.9,5.0,0.2,0.3,high
49.5,119.0,7.09,4.0,0.37,0.65,medium
87.6,500.0,6.67,4.5,0.75,0.4,medium
20.3,180.0,7.12,1.0,0.15,0.25,high
102.6,500.0,6.96,5.5,0.5,0.35,medium
112.6,500.0,6.82,5.5,0.75,0.35,high
31.1,220.0,6.99,4.0,0.15,0.3,high
350.0,190.0,7.55,2.5,0.32,0.35,medium
9.6,156.0,7.41,1.2,0.12,0.15,medium
411.5,500.0,7.55,4.0,0.27,0.29,low
99.1,310.0,6.85,4.5,0.4,0.3,high
25.2,310.0,6.88,5.0,0.22,0.35,high
20.1,100.0,7.5,1.5,0.16,0.12,low
22.1,500.0,7.35,5.0,0.15,0.35,low
210.0,500.0,6.85,3.5,0.5,0.4,high
22.35,100.0,7.42,3.5,0.2,0.2,low
21.1,125.0,6.9,2.0,0.2,0.35,high
151.4,500.0,7.59,6.0,0.29,0.25,high
16.0,175.0,7.12,3.5,0.4,0.55,medium
121.0,500.0,8.99,5.0,0.5,0.4,high
70.1,180.0,6.55,2.5,0.4,0.35,high
39.6,410.0,6.57,5.0,0.25,0.35,medium
32.6,389.0,7.12,5.0,0.5,0.65,medium
35.4,196.0,7.54,1.5,0.27,0.15,low
21.7,286.0,6.61,2.0,0.6,0.75,high
35.1,190.0,7.38,1.5,0.2,0.12,low
282.0,500.0,6.71,2.5,0.5,0.5,high
18.2,170.0,7.24,3.5,0.17,0.15,medium
311.0,500.0,6.89,4.0,0.7,0.35,high
496.0,500.0,7.42,5.0,0.42,0.75,high
219.0,500.0,6.81,4.5,0.8,0.35,high
11.52,152.0,7.42,2.5,0.11,0.5,low
50.1,398.0,6.52,2.5,0.5,0.35,medium
167.0,500.0,6.81,3.5,0.4,0.55,low
168.0,500.0,7.45,1.0,0.3,0.35,low
112.6,500.0,7.48,6.0,0.22,0.3,low
117.0,500.0,6.85,4.5,0.9,0.35,high
39.8,192.0,7.25,3.0,0.15,0.2,medium
19.3,210.0,6.56,4.5,0.24,0.35,medium
23.5,238.0,7.53,2.5,0.11,0.15,low
19.5,192.0,7.42,0.5,0.12,0.5,low
45.1,437.0,6.97,2.0,0.35,0.35,high
91.3,500.0,6.69,4.5,0.4,0.35,medium
13.2,199.0,7.44,3.0,0.22,0.25,low
90.4,500.0,7.07,2.5,0.4,0.5,high
73.1,390.0,6.72,3.5,0.4,0.3,high
24.5,300.0,7.55,3.0,0.27,0.3,medium
36.3,199.0,7.65,3.0,0.12,0.16,high
41.2,20.0,6.52,2.0,0.2,0.35,low
19.8,190.0,7.55,2.5,0.22,0.15,low
61.1,390.0,6.89,3.5,0.2,0.25,high
34.6,336.0,6.82,4.0,0.7,0.25,high
99.6,500.0,6.88,2.5,0.75,0.4,medium
55.0,429.0,7.12,3.5,0.5,0.65,medium
25.9,193.0,7.45,3.0,0.15,0.25,low
397.0,500.0,6.81,5.0,0.8,0.35,high
230.0,500.0,6.85,2.5,0.72,0.4,high
21.1,310.0,6.88,3.0,0.15,0.3,high
21.0,169.0,7.52,1.5,0.17,0.25,low
29.2,148.0,6.96,2.5,0.37,0.5,high
71.4,500.0,6.69,2.0,0.45,0.4,high
147.9,500.0,7.48,4.5,0.29,0.4,high
71.1,390.0,6.73,2.0,0.72,0.4,high
22.1,155.0,7.45,1.5,0.16,0.21,low
22.7,160.0,7.38,1.5,0.11,0.2,low
20.3,222.0,6.98,3.5,0.65,0.3,low
120.0,280.0,7.56,1.0,0.12,0.21,low
22.35,100.0,7.42,2.0,0.2,0.2,low
101.3,500.0,6.81,6.0,0.25,0.3,high
398.9,500.0,6.52,5.5,0.65,0.35,high
36.3,199.0,7.65,2.5,0.12,0.16,low
25.9,193.0,7.45,1.5,0.15,0.25,low
95.0,500.0,6.82,3.0,0.45,0.75,medium
17.5,273.0,6.76,2.5,0.6,0.75,low
20.8,309.0,6.57,2.5,0.5,0.75,medium
418.2,500.0,6.65,5.5,0.7,0.3,high
190.0,500.0,7.56,1.5,0.12,0.15,low
35.4,190.0,7.52,1.5,0.27,0.25,low
498.0,500.0,6.89,6.0,0.5,0.6,low
16.8,160.0,7.25,2.5,0.17,0.15,low
25.4,176.0,7.25,3.5,0.15,0.2,high
28.2,189.0,7.38,3.0,0.27,0.35,medium
